agency_name,agency_name_secondary,agency_address,agency_phone,agency_website,agency_wheelchair_access,available_beds,intake_open_appointments,populations_served,languages_spoken,last_updated,service_OP,service_IOP,service_RS,service_A_WM,service_R_WM,service_I_WM,service_OTP,service_Male,service_Female,service_Adult,service_TAY,service_Youth,service_MAT,service_Co_Occurring,service_LGBTQIA,service_Veterans,service_Homeless,service_Criminal_Justice,service_Perinatal,service_Parent_Guardian,agency_hours_sunday_open,agency_hours_sunday_close,intake_hours_sunday_open,intake_hours_sunday_close,agency_hours_monday_open,agency_hours_monday_close,intake_hours_monday_open,intake_hours_monday_close,agency_hours_tuesday_open,agency_hours_tuesday_close,intake_hours_tuesday_open,intake_hours_tuesday_close,agency_hours_wednesday_open,agency_hours_wednesday_close,intake_hours_wednesday_open,intake_hours_wednesday_close,agency_hours_thursday_open,agency_hours_thursday_close,intake_hours_thursday_open,intake_hours_thursday_close,agency_hours_friday_open,agency_hours_friday_close,intake_hours_friday_open,intake_hours_friday_close,agency_hours_saturday_open,agency_hours_saturday_close,intake_hours_saturday_open,intake_hours_saturday_close,latitude,longitude
"JWCH INSTITUTE, INC.",,,(310) 608-1505,https://www.jwchinstitute.org,No,RBHAdult - F: 0,,,English,Last Updated: 11/26/2025 8:57:55 AM,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9953414,-118.2699321
"SADLER HEALTHCARE, INC.",Menlo House,"1731 Menlo Avenue,Los Angeles, CA 90006",(323) 251-1485,http://sadlerhealthcare.org,No,RS(3.1)Adult - M: 0RS(3.5)Adult - M: 0R-WMAdult - M: 0,,Adult; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,English,Last Updated: 11/26/2025 9:36:10 AM,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,07:00,16:30,,,34.0421965,-118.290701
CHILDREN'S HOSPITAL LOS ANGELES,,"3250 Wilshire Boulevard, 300,Los Angeles, CA 90010",(323) 361-2463,https://www.chla.org,Yes,,,Youth; M; A; T; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; I; A,EnglishSpanish,Last Updated: 11/26/2025 8:31:53 AM,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,Closed,Closed,,,10:00,18:30,,,08:30,17:30,,,09:00,21:00,,,08:30,21:00,,,09:00,17:00,,,08:00,16:00,,,34.0609839,-118.2932673
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Bimini House,"155 South Bimini Place,Los Angeles, CA 90004",(877) 507-6242,https://www.socialmodelrecovery.org/,No,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; I; A; Veterans; Criminal; Justice,EnglishSpanish,Last Updated: 11/26/2025 9:17:42 AM,True,False,True,False,False,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,34.071765,-118.2905372
"BEHAVIORAL HEALTH SERVICES, INC.",BHS Boyle Heights Family Recovery Center,"3421 East Olympic Boulevard,Los Angeles, CA 90023",(323) 262-1786,http://bhs-inc.org/,Yes,,,Adult,EnglishSpanish,Last Updated: 11/26/2025 7:34:02 AM,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Closed,Closed,,,09:00,18:00,,,09:00,21:00,,,09:00,18:00,,,09:00,21:00,,,08:00,17:00,,,08:00,17:00,,,34.0188584,-118.2042581
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",,,(877) 507-6242,https://www.socialmodelrecovery.org/,No,RBHAdult - F: 0,,,English,Last Updated: 11/26/2025 8:23:35 AM,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0613924,-118.2719932
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",,,(877) 507-6242,https://www.socialmodelrecovery.org/,No,RBHAdult - F: 0,,,English,Last Updated: 11/26/2025 8:23:35 AM,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0613924,-118.2719932
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",,,(877) 507-6242,https://www.socialmodelrecovery.org/,No,RBHAdult - F: 0,,,English,Last Updated: 11/26/2025 8:23:35 AM,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0613924,-118.2719932
"BEHAVIORAL HEALTH SERVICES, INC.",Lincoln Heights Family Recovery Center,"4099 North Mission Road,Los Angeles, CA 90032",(323) 221-1746,http://bhs-inc.org/,Yes,,,Youth,EnglishSpanish,Last Updated: 11/26/2025 7:34:02 AM,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Closed,Closed,,,09:00,18:00,,,09:00,21:00,,,09:00,18:00,,,09:00,21:00,,,08:00,21:00,,,Closed,Closed,,,34.0605014,-118.2145766
PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,Castle Outpatient,"3021 South Vermont Avenue,Los Angeles, CA 90007",(323) 732-9124,,Yes,,,,English,Last Updated: 11/26/2025 8:04:36 AM,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Closed,Closed,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,12:30,21:00,,,09:00,18:00,,,09:00,14:00,,,34.0271519,-118.291773
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Mariposa Recovery Home,"453 South Indiana Street,Los Angeles, CA 90063",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RS(3.1)Adult - F: 0RS(3.5)Adult - F: 0,,Adult; Women; M; A; T; Parent/; Guardian (; Female) with; Children; Perinatal; L; G; B; T; Q; I; A,EnglishSpanish,Last Updated: 11/26/2025 8:36:58 AM,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,Closed,Closed,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,Closed,Closed,,,34.0310034,-118.192456
"ADDICTION RESEARCH AND TREATMENT, INC.",,"4920 South Avalon Boulevard,Los Angeles, CA 90011",(323) 235-5035,https://www.baartprograms.com,Yes,,,M; A; T; Perinatal,ArmenianEnglishFarsiSpanish,Last Updated: 10/22/2025 1:08:03 PM,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,07:00,11:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,07:00,11:00,,,33.9443091,-118.2649607
AVALON-CARVER COMMUNITY CENTER,,"4920 South Avalon Boulevard,Los Angeles, CA 90011",(323) 232-4391,,No,,,,EnglishSpanish,Last Updated: 7/4/2017 2:00:46 PM,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9443091,-118.2649607
"BAART BEHAVIORAL HEALTH SERVICES, INC.",,"4920 South Avalon Boulevard,Los Angeles, CA 90011",(323) 235-5035,,No,,,M; A; T; Perinatal,ArabicArmenianEnglishFarsiSpanish,Last Updated: 10/22/2025 1:08:27 PM,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,07:30,10:30,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,06:00,14:00,,,07:30,10:30,,,33.9443091,-118.2649607
"CRI-HELP, INC.",Socorro,"4439, 4445, 4455 Burns Avenue,Los Angeles, CA 90029",(323) 222-1440,https://www.cri-help.org,Yes,RS(3.1)Adult - M: 1Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0R-WMAdult - M: 0Adult - F: 0,,M; A; T,EnglishSpanish,Last Updated: 11/26/2025 8:04:13 AM,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,34.0878189,-118.2905591
"SADLER HEALTHCARE, INC.",,"225 North Mariposa Avenue,Los Angeles, CA 90004",(323) 251-1485,http://sadlerhealthcare.org,No,RS(3.1)Adult - M: 0RS(3.5)Adult - M: 0R-WMAdult - M: 0,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,English,Last Updated: 11/26/2025 10:40:02 AM,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,34.0755959,-118.2995115
"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",,"3727 West 6th Street, Suite 411,Los Angeles, CA 90020",(213) 365-7400,https://www.kyccla.org,Yes,,,Youth; Co-; Occurring; Mental; Health; Capabilities,EnglishKoreanSpanish,Last Updated: 11/24/2025 9:50:04 AM,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,Closed,Closed,,,09:00,18:00,,,12:00,21:00,,,09:00,18:00,,,12:00,21:00,,,09:00,18:00,,,08:00,16:30,,,34.0639161,-118.3037415
"JWCH INSTITUTE, INC.",Mini House Residential Treatment,"303 East 52nd Street,Los Angeles, CA 90011",(323) 918-2139,https://www.jwchinstitute.org,Yes,RS(3.1)Adult - F: 0RS(3.5)Adult - F: 0,,M; A; T; Parent/; Guardian (; Female) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 11/26/2025 8:57:55 AM,True,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True,10:00,18:00,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,09:00,20:00,,,10:00,18:00,,,33.9953414,-118.2699321
PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,Castle Substance Abuse Treatment - West,"1319 South Manhattan Place,Los Angeles, CA 90019",(323) 732-9124,,Yes,RS(3.1)Adult - M: 0Adult - F: 0,,,EnglishSpanish,Last Updated: 11/26/2025 8:04:36 AM,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,34.0469225,-118.3102525
"SPECIAL SERVICE FOR GROUPS, INC.",Homeless Outreach Program Integrated Care System,"5715 South Broadway,Los Angeles, CA 90037",(323) 948-0433,http://www.hopics.org,Yes,,,Adult; Women; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; I; A; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 11/26/2025 10:22:39 AM,False,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,True,True,Closed,Closed,,,08:00,16:30,,,12:00,21:00,,,08:00,16:30,,,12:00,21:00,,,08:00,16:30,,,08:00,16:30,,,33.9903756,-118.2783907
"PRINCIPLES, INC.",,"3217 North Eastern Avenue, 102 & 103,Los Angeles, CA 90032",(213) 625-5009,https://www.impacthouse.com,Yes,,,Adult; L; G; B; T; Q; I; A; Veterans; Homeless,ArmenianEnglishSpanish,Last Updated: 11/26/2025 10:34:58 AM,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,Closed,Closed,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,16:30,,,08:00,16:30,,,34.0536909,-118.242766
"CRI-HELP, INC.",,,(323) 222-1440,https://www.cri-help.org,No,RBHAdult - F: 0,,,English,Last Updated: 11/26/2025 8:04:13 AM,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0605014,-118.2145766
"DIVERSION SAFETY PROGRAMS, INC.",,"6606 Pacific Boulevard, 215,Huntington Park, CA 90255",(323) 585-0764,,No,,,,EnglishSpanish,Last Updated: 6/30/2017 8:25:52 AM,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.979116,-118.225076
WESTERN PACIFIC MED-CORP,,"4544 San Fernando Road, Suite 201,Glendale, CA 91204",(818) 956-3737,www.westpacmed.com,Yes,,,Adult; M; A; T,ArmenianEnglishFarsiRussianSpanishTagalog,Last Updated: 11/26/2025 4:55:52 AM,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,06:00,09:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,09:30,,,34.134571,-118.262931
"CHABAD OF CALIFORNIA, INC.",,,(323) 965-1365,https://www.chabadrehab.com,No,RBHAdult - M: 0,,M; A; T; Co-; Occurring; Mental; Health; Capabilities; Homeless,English,Last Updated: 11/26/2025 8:28:54 AM,True,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.057461,-118.353244
TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,,"8019 Compton Avenue,Los Angeles, CA 90001",(323) 586-7333,http://www.tccsc.org,Yes,,,Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities,EnglishSpanish,Last Updated: 11/18/2025 3:16:17 PM,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,Closed,Closed,,,08:00,20:00,,,08:00,21:00,,,08:00,20:00,,,08:00,21:00,,,08:00,20:00,,,09:00,17:00,,,33.9663566,-118.2477504
